#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9000 , 600037 , 303.49398 , 11.65338 , 1.01103 , 12.91100 , 100.64290 , 80.07496 , 6.70953 ,  , 8.15737 , 0.00000 , 6.70953 , 6.22417 , 1.00000 , 0.82230 , 16.94823 , quad , 11.52923 , 392.64344 
9001 , 389418 , 230.54379 , 9.12377 , 0.22320 , 11.99636 , 250.78899 , 75.86978 , 16.71927 ,  , 6.38664 , 0.00000 , 16.71927 , 5.01348 , 1.00000 , 0.89458 , 16.24269 , quad , 8.12557 , 63.23174 
9002 , 288956 , 185.21227 , 9.12173 , 0.54265 , 11.42410 , 268.66214 , 99.96304 , 17.91081 ,  , 6.38521 , 0.00000 , 17.91081 , 1.54943 , 1.00000 , 0.85113 , 17.63275 , quad , 5.91096 , 21.93713 
9003 , 795989 , 259.74565 , 8.45261 , 2.08089 , 18.17643 , 134.09209 , 11.79043 , 8.93947 ,  , 5.91683 , 0.00000 , 8.93947 , 3.94231 , 1.00000 , 0.89423 , 17.37477 , quad , 8.04945 , 246.96566 
9004 , 125747 , 104.57825 , 10.56310 , 0.10322 , 8.33853 , 262.17497 , 47.96056 , 17.47833 ,  , 7.39417 , 0.00000 , 17.47833 , 1.87214 , 1.00000 , 0.91616 , 16.69391 , quad , 5.85926 , 218.56377 
9005 , 79135 , 285.99379 , 8.42508 , 2.24685 , 15.35511 , 191.81226 , 23.24065 , 12.78748 ,  , 5.89756 , 0.00000 , 12.78748 , 3.28113 , 1.00000 , 0.87425 , 18.14180 , quad , 6.66669 , 153.48614 
9006 , 616123 , 108.46409 , 9.03045 , 0.57089 , 19.97371 , 221.22246 , 18.56649 , 14.74816 ,  , 6.32131 , 0.00000 , 14.74816 , 3.56107 , 1.00000 , 0.97386 , 17.42746 , quad , 4.10720 , 439.95819 
9007 , 255095 , 157.65668 , 5.84840 , 0.48903 , 6.38111 , 151.89760 , 89.81798 , 10.12651 ,  , 4.09388 , 0.00000 , 10.12651 , 5.21408 , 1.00000 , 0.98317 , 17.42363 , quad , 3.83765 , 272.68156 
9008 , 800415 , 168.61478 , 11.27070 , 1.86635 , 10.70096 , 103.65268 , 84.22836 , 6.91018 ,  , 7.88949 , 0.00000 , 6.91018 , 1.09312 , 1.00000 , 0.93632 , 16.60187 , quad , 9.69924 , 474.98210 
9009 , 197461 , 128.04244 , 12.15972 , 0.42042 , 18.49216 , 255.61536 , 49.34703 , 17.04102 ,  , 8.51181 , 0.00000 , 17.04102 , 5.20405 , 1.00000 , 0.84134 , 16.54737 , quad , -7.39096 , 416.67558 
