#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
18000 , 844052 , 183.00000 , 1.22025 , 0.37083 , 10.07127 , 9.91284 , 148.69259 , 76.73363 , 7.04989 , 0.00000 , 9.91284 , 3.43272 , 1.00000 , 0.98732 , 16.30841
18001 , 20851 , 193.00000 , 4.83286 , 0.91888 , 9.96612 , 17.18408 , 257.76123 , 88.56645 , 6.97628 , 0.00000 , 17.18408 , 5.58128 , 1.00000 , 0.90367 , 16.02467
18002 , 471664 , 31.00000 , 3.12836 , 0.75357 , 12.67101 , 14.54514 , 218.17706 , 72.55470 , 8.86971 , 0.00000 , 14.54514 , 0.44413 , 1.00000 , 0.96324 , 17.81074
18003 , 280411 , 347.00000 , 2.34607 , 0.84203 , 9.25356 , 6.87773 , 103.16597 , 88.91310 , 6.47749 , 0.00000 , 6.87773 , 4.95927 , 1.00000 , 0.83256 , 19.38137
18004 , 93916 , 189.00000 , 3.70519 , 0.84964 , 8.67349 , 11.68901 , 175.33513 , 57.92322 , 6.07144 , 0.00000 , 11.68901 , 5.50939 , 1.00000 , 0.87400 , 16.03764
18005 , 233613 , 372.00000 , 3.51445 , 0.62976 , 7.52773 , 8.75721 , 131.35817 , 67.57920 , 5.26941 , 0.00000 , 8.75721 , 0.65730 , 1.00000 , 0.93386 , 17.01693
18006 , 628266 , 233.00000 , 3.29279 , 0.67019 , 9.06854 , 9.37110 , 140.56644 , 87.53406 , 6.34798 , 0.00000 , 9.37110 , 3.83197 , 1.00000 , 0.97691 , 17.42971
18007 , 925398 , 156.00000 , 4.85986 , 0.27515 , 10.33034 , 17.89991 , 268.49867 , 14.38161 , 7.23124 , 0.00000 , 17.89991 , 0.26341 , 1.00000 , 0.97489 , 17.19834
18008 , 688544 , 274.00000 , 2.93464 , 0.54685 , 10.50475 , 9.08073 , 136.21100 , 78.38922 , 7.35332 , 0.00000 , 9.08073 , 0.20430 , 1.00000 , 0.96168 , 17.71193
18009 , 508745 , 222.00000 , 3.88597 , 0.61479 , 11.83848 , 19.90414 , 298.56204 , 75.06738 , 8.28694 , 0.00000 , 19.90414 , 0.56548 , 1.00000 , 0.82441 , 17.66954
18010 , 205559 , 50.00000 , 2.43254 , 0.62265 , 9.90034 , 12.57880 , 188.68202 , 3.97093 , 6.93024 , 0.00000 , 12.57880 , 0.55357 , 1.00000 , 0.91407 , 17.30470
18011 , 824772 , 173.00000 , 3.75095 , 0.54919 , 6.17158 , 8.03761 , 120.56415 , 81.42750 , 4.32011 , 0.00000 , 8.03761 , 2.89685 , 1.00000 , 0.94253 , 17.58840
18012 , 360749 , 204.00000 , 1.31516 , 0.43220 , 8.68769 , 17.87644 , 268.14667 , 0.58174 , 6.08138 , 0.00000 , 17.87644 , 4.10993 , 1.00000 , 0.90382 , 17.52797
18013 , 680441 , 208.00000 , 3.92408 , 0.32292 , 6.28305 , 12.72678 , 190.90168 , 5.07503 , 4.39813 , 0.00000 , 12.72678 , 0.92133 , 1.00000 , 0.89953 , 16.34541
18014 , 668458 , 27.00000 , 1.76626 , 0.85997 , 6.92268 , 10.51608 , 157.74119 , 63.42361 , 4.84588 , 0.00000 , 10.51608 , 5.61320 , 1.00000 , 0.81622 , 16.30691
18015 , 176149 , 88.00000 , 3.09990 , 0.37501 , 6.27125 , 17.87141 , 268.07118 , 78.69661 , 4.38988 , 0.00000 , 17.87141 , 3.68838 , 1.00000 , 0.94718 , 18.92215
18016 , 135530 , 34.00000 , 3.23010 , 0.76617 , 11.28530 , 15.87547 , 238.13198 , 23.49197 , 7.89971 , 0.00000 , 15.87547 , 4.30728 , 1.00000 , 0.97878 , 17.24126
18017 , 324108 , 284.00000 , 2.14235 , 0.91613 , 13.15803 , 12.65186 , 189.77789 , 51.26011 , 9.21062 , 0.00000 , 12.65186 , 3.63979 , 1.00000 , 0.93809 , 17.50131
18018 , 425603 , 51.00000 , 2.65495 , 0.30094 , 8.32679 , 10.11280 , 151.69203 , 61.19432 , 5.82875 , 0.00000 , 10.11280 , 0.41032 , 1.00000 , 0.98616 , 16.29262
18019 , 877927 , 347.00000 , 4.09417 , 0.74468 , 8.95501 , 11.37884 , 170.68264 , 58.12214 , 6.26851 , 0.00000 , 11.37884 , 5.79228 , 1.00000 , 0.81228 , 16.61860
18020 , 601830 , 107.00000 , 1.63752 , 0.28678 , 6.92985 , 15.66156 , 234.92333 , 36.57682 , 4.85089 , 0.00000 , 15.66156 , 3.95978 , 2.00000 , 0.94565 , 17.64069
18021 , 834605 , 133.00000 , 3.25999 , 0.71300 , 10.41872 , 17.82455 , 267.36823 , 98.40546 , 7.29310 , 0.00000 , 17.82455 , 3.32861 , 2.00000 , 0.95548 , 17.00864
18022 , 259074 , 67.00000 , 4.18483 , 0.95873 , 9.84095 , 12.56153 , 188.42292 , 27.38482 , 6.88866 , 0.00000 , 12.56153 , 4.34888 , 2.00000 , 0.82861 , 16.37645
18023 , 655974 , 79.00000 , 1.67628 , 0.79721 , 11.79782 , 15.20383 , 228.05740 , 18.45594 , 8.25847 , 0.00000 , 15.20383 , 2.61474 , 2.00000 , 0.83776 , 16.34400
18024 , 903778 , 297.00000 , 3.14104 , 0.84546 , 9.66761 , 12.75042 , 191.25635 , 78.35147 , 6.76733 , 0.00000 , 12.75042 , 1.66890 , 2.00000 , 0.81050 , 15.70957
18025 , 66463 , 377.00000 , 3.32617 , 0.82366 , 4.67192 , 8.90699 , 133.60488 , 8.77850 , 3.27034 , 0.00000 , 8.90699 , 3.49902 , 2.00000 , 0.96876 , 16.65561
18026 , 166180 , 331.00000 , 4.97209 , 0.60220 , 11.18622 , 10.38427 , 155.76410 , 78.27843 , 7.83035 , 0.00000 , 10.38427 , 1.39887 , 2.00000 , 0.88273 , 17.33887
18027 , 772831 , 82.00000 , 2.56702 , 0.80509 , 8.14330 , 11.56436 , 173.46547 , 96.59439 , 5.70031 , 0.00000 , 11.56436 , 4.58681 , 2.00000 , 0.93749 , 17.47431
18028 , 16030 , 57.00000 , 4.79550 , 0.78542 , 11.23338 , 19.35776 , 290.36633 , 49.05857 , 7.86337 , 0.00000 , 19.35776 , 1.41424 , 2.00000 , 0.93477 , 15.70039
18029 , 618192 , 255.00000 , 3.05787 , 0.76462 , 9.87787 , 8.54794 , 128.21903 , 93.45597 , 6.91451 , 0.00000 , 8.54794 , 0.62498 , 2.00000 , 0.97614 , 15.30445
18030 , 426928 , 130.00000 , 2.20030 , 0.84287 , 11.20962 , 12.42745 , 186.41172 , 92.20388 , 7.84673 , 0.00000 , 12.42745 , 5.54359 , 2.00000 , 0.93586 , 18.77859
18031 , 715225 , 28.00000 , 1.52398 , 0.63739 , 11.73916 , 16.57446 , 248.61683 , 45.16144 , 8.21741 , 0.00000 , 16.57446 , 0.29651 , 2.00000 , 0.90439 , 17.27485
18032 , 76214 , 258.00000 , 3.34078 , 0.65697 , 9.70033 , 18.20750 , 273.11249 , 98.00877 , 6.79023 , 0.00000 , 18.20750 , 5.49736 , 2.00000 , 0.97339 , 16.33246
18033 , 343498 , 146.00000 , 2.18524 , 0.33662 , 12.07128 , 9.19514 , 137.92704 , 96.10791 , 8.44990 , 0.00000 , 9.19514 , 2.10366 , 2.00000 , 0.83848 , 18.90239
18034 , 137171 , 249.00000 , 2.28354 , 0.50049 , 6.36478 , 16.01610 , 240.24149 , 86.39607 , 4.45535 , 0.00000 , 16.01610 , 4.60964 , 2.00000 , 0.90022 , 16.15564
