#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
21000 , 855626 , 264.00000 , 3.06447 , 0.76558 , 8.56954 , 15.45873 , 231.88098 , 28.82574 , 5.99868 , 0.00000 , 15.45873 , 3.28508 , 1.00000 , 0.83382 , 16.68530
21001 , 989727 , 301.00000 , 3.68570 , 0.81670 , 10.89215 , 7.95020 , 119.25302 , 67.11959 , 7.62451 , 0.00000 , 7.95020 , 0.30784 , 1.00000 , 0.89668 , 15.00456
21002 , 494764 , 80.00000 , 4.03389 , 0.69235 , 10.71870 , 8.49268 , 127.39026 , 15.18272 , 7.50309 , 0.00000 , 8.49268 , 0.31694 , 1.00000 , 0.94353 , 17.21309
21003 , 246114 , 194.00000 , 1.16321 , 0.97230 , 8.47720 , 17.68054 , 265.20811 , 2.85015 , 5.93404 , 0.00000 , 17.68054 , 4.27762 , 1.00000 , 0.98205 , 25.79608
21004 , 258694 , 201.00000 , 3.06982 , 0.84479 , 7.76407 , 15.32615 , 229.89230 , 62.40556 , 5.43485 , 0.00000 , 15.32615 , 5.77645 , 1.00000 , 0.82310 , 16.37963
21005 , 665976 , 58.00000 , 3.54277 , 0.99215 , 11.34393 , 10.31451 , 154.71763 , 1.56309 , 7.94075 , 0.00000 , 10.31451 , 4.19759 , 1.00000 , 0.87551 , 14.79190
21006 , 884787 , 30.00000 , 2.51190 , 0.63792 , 12.16977 , 11.75853 , 176.37791 , 61.44360 , 8.51884 , 0.00000 , 11.75853 , 5.69014 , 1.00000 , 0.83715 , 7.85904
21007 , 717275 , 260.00000 , 3.76412 , 0.69802 , 12.10022 , 16.69627 , 250.44404 , 19.96193 , 8.47016 , 0.00000 , 16.69627 , 4.79797 , 1.00000 , 0.87174 , 12.59301
21008 , 799993 , 333.00000 , 2.27512 , 0.38865 , 9.93713 , 9.82138 , 147.32072 , 95.60956 , 6.95599 , 0.00000 , 9.82138 , 1.17497 , 1.00000 , 0.85528 , 12.82355
21009 , 471890 , 100.00000 , 2.21036 , 0.54907 , 7.82603 , 13.60139 , 204.02085 , 15.02342 , 5.47822 , 0.00000 , 13.60139 , 4.13565 , 1.00000 , 0.94868 , 27.07036
21010 , 688720 , 204.00000 , 1.61231 , 0.43246 , 10.41111 , 15.62401 , 234.36010 , 78.12394 , 7.28778 , 0.00000 , 15.62401 , 4.04685 , 1.00000 , 0.90050 , 20.13442
21011 , 898869 , 267.00000 , 1.37237 , 0.31932 , 8.61890 , 14.83066 , 222.45992 , 24.47350 , 6.03323 , 0.00000 , 14.83066 , 2.77054 , 1.00000 , 0.81391 , 18.96338
21012 , 287561 , 62.00000 , 3.01108 , 0.58205 , 11.44031 , 11.82201 , 177.33009 , 32.77297 , 8.00822 , 0.00000 , 11.82201 , 4.58739 , 1.00000 , 0.89323 , 12.18698
21013 , 416864 , 199.00000 , 1.22127 , 0.61455 , 7.16788 , 10.19130 , 152.86956 , 55.62124 , 5.01752 , 0.00000 , 10.19130 , 1.00461 , 1.00000 , 0.94197 , 9.69849
21014 , 74952 , 145.00000 , 1.56255 , 0.99855 , 12.00857 , 15.55098 , 233.26472 , 32.38144 , 8.40600 , 0.00000 , 15.55098 , 2.23043 , 1.00000 , 0.92213 , 17.71917
21015 , 612984 , 299.00000 , 3.96709 , 0.30820 , 9.10520 , 9.00484 , 135.07264 , 30.00938 , 6.37364 , 0.00000 , 9.00484 , 2.20466 , 1.00000 , 0.86756 , 16.16967
21016 , 27060 , 224.00000 , 4.53293 , 0.60128 , 11.71238 , 14.15754 , 212.36315 , 31.07655 , 8.19867 , 0.00000 , 14.15754 , 0.48250 , 1.00000 , 0.83326 , 14.67726
21017 , 655056 , 108.00000 , 2.09304 , 0.42565 , 6.41642 , 18.90139 , 283.52090 , 19.12287 , 4.49149 , 0.00000 , 18.90139 , 1.29915 , 1.00000 , 0.93113 , 8.11637
