#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
24000 , 591810 , 101.00000 , 4.13834 , 0.49623 , 9.98199 , 8.92726 , 133.90896 , 38.65942 , 6.98739 , 0.00000 , 8.92726 , 1.72546 , 1.00000 , 0.85225 , 22.94930
24001 , 560307 , 142.00000 , 3.49493 , 0.35132 , 12.10316 , 14.13562 , 212.03423 , 22.29508 , 8.47221 , 0.00000 , 14.13562 , 1.45248 , 1.00000 , 0.91709 , 15.09322
24002 , 821403 , 178.00000 , 2.01311 , 0.54429 , 10.70038 , 7.55324 , 113.29857 , 54.47594 , 7.49027 , 0.00000 , 7.55324 , 2.38596 , 1.00000 , 0.90834 , 20.94001
24003 , 925935 , 189.00000 , 3.54679 , 0.66547 , 11.89367 , 19.80205 , 297.03080 , 66.73074 , 8.32557 , 0.00000 , 19.80205 , 2.55960 , 1.00000 , 0.93912 , 18.12871
24004 , 778474 , 243.00000 , 1.76877 , 0.33365 , 11.08256 , 15.75597 , 236.33958 , 4.77672 , 7.75779 , 0.00000 , 15.75597 , 0.04833 , 1.00000 , 0.92009 , 26.22451
24005 , 711938 , 239.00000 , 4.13849 , 0.76640 , 14.39895 , 16.51197 , 247.67950 , 42.89733 , 10.07927 , 0.00000 , 16.51197 , 2.02255 , 1.00000 , 0.93719 , 16.76848
24006 , 918729 , 146.00000 , 1.27359 , 0.26382 , 8.95947 , 14.68692 , 220.30377 , 36.54322 , 6.27163 , 0.00000 , 14.68692 , 3.42301 , 1.00000 , 0.97162 , 25.01287
24007 , 904256 , 208.00000 , 4.68271 , 0.50317 , 8.16121 , 10.45765 , 156.86480 , 41.42314 , 5.71284 , 0.00000 , 10.45765 , 0.48917 , 1.00000 , 0.85709 , 5.67421
24008 , 757273 , 205.00000 , 4.79344 , 0.32150 , 8.33514 , 14.28878 , 214.33167 , 33.45114 , 5.83460 , 0.00000 , 14.28878 , 1.11975 , 1.00000 , 0.96639 , 20.91941
24009 , 631896 , 239.00000 , 3.08949 , 0.61298 , 11.56545 , 11.18174 , 167.72605 , 61.48615 , 8.09582 , 0.00000 , 11.18174 , 3.48766 , 1.00000 , 0.84970 , 7.43668
24010 , 399883 , 22.00000 , 1.04227 , 0.94842 , 11.34090 , 14.82136 , 222.32047 , 6.63602 , 7.93863 , 0.00000 , 14.82136 , 2.00205 , 1.00000 , 0.87153 , 8.14122
24011 , 358269 , 68.00000 , 2.84003 , 0.96518 , 11.60777 , 18.90350 , 283.55257 , 15.14362 , 8.12544 , 0.00000 , 18.90350 , 1.03822 , 1.00000 , 0.95063 , 8.39364
24012 , 432926 , 183.00000 , 4.95954 , 0.85924 , 13.62351 , 11.70176 , 175.52641 , 66.29259 , 9.53645 , 0.00000 , 11.70176 , 2.90780 , 1.00000 , 0.98828 , 12.87672
24013 , 65679 , 155.00000 , 1.28315 , 0.83558 , 11.03609 , 6.90987 , 103.64800 , 34.09885 , 7.72526 , 0.00000 , 6.90987 , 2.66307 , 1.00000 , 0.97470 , 9.65775
24014 , 608739 , 91.00000 , 1.42663 , 0.79769 , 7.93842 , 9.25132 , 138.76973 , 60.58109 , 5.55689 , 0.00000 , 9.25132 , 3.46714 , 1.00000 , 0.90987 , 16.84642
24015 , 836281 , 89.00000 , 4.22170 , 0.41667 , 10.70028 , 15.03710 , 225.55655 , 65.27072 , 7.49020 , 0.00000 , 15.03710 , 3.34475 , 1.00000 , 0.91907 , 12.85097
24016 , 460813 , 31.00000 , 3.07781 , 0.84979 , 10.22186 , 14.74314 , 221.14710 , 18.46674 , 7.15530 , 0.00000 , 14.74314 , 3.79869 , 1.00000 , 0.85579 , 12.65156
24017 , 491485 , 20.00000 , 1.32882 , 0.72145 , 10.50376 , 13.06253 , 195.93788 , 6.01420 , 7.35263 , 0.00000 , 13.06253 , 1.85924 , 1.00000 , 0.98398 , 15.94751
24018 , 328623 , 149.00000 , 1.80333 , 0.59568 , 7.64236 , 11.06187 , 165.92799 , 58.31780 , 5.34965 , 0.00000 , 11.06187 , 1.79571 , 1.00000 , 0.86604 , 28.04231
24019 , 830827 , 44.00000 , 2.64277 , 0.36530 , 12.52976 , 17.37037 , 260.55549 , 54.85266 , 8.77083 , 0.00000 , 17.37037 , 5.58437 , 1.00000 , 0.95448 , 11.72386
24020 , 41895 , 300.00000 , 2.64635 , 0.46814 , 10.24985 , 13.31014 , 199.65210 , 98.75439 , 7.17489 , 0.00000 , 13.31014 , 1.45976 , 2.00000 , 0.94567 , 10.04922
24021 , 169518 , 230.00000 , 2.77725 , 0.84936 , 10.22477 , 10.88381 , 163.25717 , 46.97720 , 7.15734 , 0.00000 , 10.88381 , 0.27929 , 2.00000 , 0.83892 , 17.00770
24022 , 457124 , 137.00000 , 3.47700 , 0.93670 , 10.01525 , 6.70414 , 100.56211 , 81.59941 , 7.01068 , 0.00000 , 6.70414 , 0.13027 , 2.00000 , 0.88711 , 6.87524
24023 , 143289 , 120.00000 , 4.37907 , 0.36979 , 12.31177 , 15.33863 , 230.07949 , 45.86723 , 8.61824 , 0.00000 , 15.33863 , 1.55302 , 2.00000 , 0.92457 , 10.12471
24024 , 335586 , 58.00000 , 4.85193 , 0.60411 , 11.65333 , 19.58088 , 293.71319 , 81.17242 , 8.15733 , 0.00000 , 19.58088 , 4.06381 , 2.00000 , 0.88766 , 19.13036
24025 , 371747 , 51.00000 , 1.51310 , 0.93233 , 9.59330 , 7.90912 , 118.63683 , 15.95238 , 6.71531 , 0.00000 , 7.90912 , 4.84357 , 2.00000 , 0.92522 , 16.91763
24026 , 890095 , 87.00000 , 2.68166 , 0.62159 , 12.48534 , 12.72299 , 190.84478 , 11.82262 , 8.73974 , 0.00000 , 12.72299 , 1.30933 , 2.00000 , 0.87168 , 19.88941
24027 , 315706 , 281.00000 , 1.61311 , 0.96012 , 9.91425 , 15.25235 , 228.78521 , 39.43490 , 6.93998 , 0.00000 , 15.25235 , 1.29130 , 2.00000 , 0.97367 , 19.15605
24028 , 860280 , 155.00000 , 3.74293 , 0.75449 , 4.09467 , 13.92831 , 208.92466 , 79.46481 , 2.86627 , 0.00000 , 13.92831 , 4.20289 , 2.00000 , 0.92149 , 14.14673
24029 , 836222 , 117.00000 , 4.57738 , 0.36832 , 10.80158 , 17.25117 , 258.76754 , 63.49656 , 7.56111 , 0.00000 , 17.25117 , 3.25130 , 2.00000 , 0.96542 , 11.62533
24030 , 98677 , 96.00000 , 2.20510 , 0.67855 , 7.39427 , 15.58635 , 233.79532 , 82.71923 , 5.17599 , 0.00000 , 15.58635 , 4.26198 , 2.00000 , 0.83203 , 13.90689
24031 , 587735 , 226.00000 , 3.94958 , 0.32096 , 8.89502 , 7.46864 , 112.02959 , 29.04062 , 6.22651 , 0.00000 , 7.46864 , 4.38163 , 2.00000 , 0.96962 , 13.00784
24032 , 555492 , 128.00000 , 4.16376 , 0.52636 , 10.11256 , 18.48361 , 277.25413 , 4.67114 , 7.07879 , 0.00000 , 18.48361 , 1.42681 , 2.00000 , 0.88174 , 22.42178
24033 , 722264 , 265.00000 , 2.69570 , 0.76979 , 10.48940 , 14.68527 , 220.27908 , 81.19579 , 7.34258 , 0.00000 , 14.68527 , 3.25630 , 2.00000 , 0.88947 , 10.77771
24034 , 633585 , 138.00000 , 4.36570 , 0.29263 , 11.54934 , 11.22346 , 168.35197 , 71.45465 , 8.08454 , 0.00000 , 11.22346 , 0.51557 , 2.00000 , 0.82655 , 19.30078
24035 , 832004 , 133.00000 , 4.14165 , 0.77869 , 8.54171 , 16.47272 , 247.09076 , 11.84536 , 5.97920 , 0.00000 , 16.47272 , 3.38559 , 2.00000 , 0.83803 , 21.81126
24036 , 926944 , 89.00000 , 3.00281 , 0.56391 , 8.89603 , 16.61319 , 249.19784 , 21.99691 , 6.22722 , 0.00000 , 16.61319 , 3.94146 , 2.00000 , 0.94616 , 15.62527
24037 , 135177 , 124.00000 , 1.33645 , 0.86601 , 9.96277 , 9.57072 , 143.56073 , 43.65675 , 6.97394 , 0.00000 , 9.57072 , 3.27367 , 2.00000 , 0.98473 , 0.92656
24038 , 167520 , 61.00000 , 3.26290 , 0.38877 , 10.17315 , 16.60709 , 249.10635 , 96.13384 , 7.12121 , 0.00000 , 16.60709 , 6.12248 , 2.00000 , 0.81865 , 23.10970
24039 , 661341 , 242.00000 , 3.23731 , 0.33272 , 13.20838 , 19.25027 , 288.75407 , 97.84588 , 9.24587 , 0.00000 , 19.25027 , 1.66936 , 2.00000 , 0.83290 , 23.30177
24040 , 97553 , 166.00000 , 1.92674 , 0.54623 , 8.67777 , 15.30982 , 229.64735 , 66.23891 , 6.07444 , 0.00000 , 15.30982 , 4.65631 , 3.00000 , 0.91679 , 15.83176
24041 , 749827 , 346.00000 , 2.69879 , 0.97232 , 9.93345 , 7.75309 , 116.29633 , 58.16406 , 6.95342 , 0.00000 , 7.75309 , 3.64774 , 3.00000 , 0.96131 , 19.08058
24042 , 230561 , 152.00000 , 2.59919 , 0.45326 , 9.93399 , 11.78540 , 176.78104 , 97.08822 , 6.95379 , 0.00000 , 11.78540 , 2.47636 , 3.00000 , 0.87619 , 15.56109
24043 , 885784 , 250.00000 , 2.70998 , 0.86070 , 10.64671 , 18.57670 , 278.65047 , 16.66479 , 7.45270 , 0.00000 , 18.57670 , 0.11740 , 3.00000 , 0.82143 , 12.36588
24044 , 17983 , 146.00000 , 1.84074 , 0.47679 , 9.71426 , 12.93190 , 193.97845 , 76.78658 , 6.79998 , 0.00000 , 12.93190 , 6.08248 , 3.00000 , 0.85683 , 18.97325
24045 , 499404 , 119.00000 , 4.59924 , 0.64728 , 7.91321 , 17.09283 , 256.39238 , 54.47277 , 5.53925 , 0.00000 , 17.09283 , 4.62196 , 3.00000 , 0.87209 , 11.73017
24046 , 831467 , 57.00000 , 3.80308 , 0.62232 , 12.65885 , 19.57273 , 293.59099 , 91.52417 , 8.86120 , 0.00000 , 19.57273 , 3.01677 , 3.00000 , 0.94857 , 22.52871
24047 , 573644 , 205.00000 , 2.71501 , 0.54769 , 10.87985 , 15.10753 , 226.61296 , 30.73728 , 7.61589 , 0.00000 , 15.10753 , 1.20565 , 3.00000 , 0.95027 , 17.15702
24048 , 303911 , 159.00000 , 2.62164 , 0.72350 , 11.28658 , 7.01424 , 105.21367 , 48.01094 , 7.90061 , 0.00000 , 7.01424 , 5.21498 , 3.00000 , 0.95875 , 14.86467
24049 , 3189 , 143.00000 , 3.05141 , 0.27474 , 10.19267 , 18.44295 , 276.64420 , 44.85094 , 7.13487 , 0.00000 , 18.44295 , 1.40369 , 3.00000 , 0.94515 , 23.10366
