#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
3000 , 632366 , 92.15217 , 9.70538 , 19.58799 , 293.81987 , 57.66262 , 6.79376 , 0.00000 , 19.58799 , 3.80533 , 1.00000 , 0.95261 , 7.83692
3001 , 550391 , 339.00299 , 8.23267 , 7.34136 , 110.12046 , 37.25327 , 5.76287 , 0.00000 , 7.34136 , 5.30010 , 1.00000 , 0.83744 , 23.39167
3002 , 658420 , 193.88150 , 11.17784 , 13.38653 , 200.79800 , 91.44332 , 7.82449 , 0.00000 , 13.38653 , 1.52587 , 1.00000 , 0.84346 , 14.41396
3003 , 157250 , 324.79428 , 12.57978 , 10.63980 , 159.59704 , 13.42632 , 8.80585 , 0.00000 , 10.63980 , 1.57204 , 1.00000 , 0.88672 , 21.81442
3004 , 150403 , 361.75851 , 6.16982 , 7.57824 , 113.67364 , 54.67979 , 4.31887 , 0.00000 , 7.57824 , 4.39272 , 1.00000 , 0.81811 , 16.69057
3005 , 321290 , 338.62964 , 7.17922 , 8.09788 , 121.46827 , 31.15173 , 5.02545 , 0.00000 , 8.09788 , 2.35919 , 1.00000 , 0.89059 , 13.44887
3006 , 527805 , 51.25185 , 6.91299 , 15.52423 , 232.86347 , 5.46248 , 4.83910 , 0.00000 , 15.52423 , 1.97355 , 1.00000 , 0.87084 , 4.61447
3007 , 863045 , 68.03898 , 11.90269 , 14.04878 , 210.73166 , 58.29435 , 8.33188 , 0.00000 , 14.04878 , 1.89837 , 1.00000 , 0.88536 , 22.27729
3008 , 671056 , 187.86341 , 9.87890 , 13.44180 , 201.62694 , 41.42562 , 6.91523 , 0.00000 , 13.44180 , 4.72116 , 1.00000 , 0.86406 , 13.29632
3009 , 974991 , 140.67857 , 11.24002 , 19.75276 , 296.29133 , 25.22719 , 7.86801 , 0.00000 , 19.75276 , 3.05287 , 1.00000 , 0.86105 , 21.67630
3010 , 877969 , 227.17061 , 9.51459 , 10.23173 , 153.47590 , 77.33794 , 6.66021 , 0.00000 , 10.23173 , 0.95258 , 1.00000 , 0.96616 , 17.16201
3011 , 482039 , 18.68358 , 11.73392 , 16.62259 , 249.33892 , 45.45815 , 8.21374 , 0.00000 , 16.62259 , 2.29324 , 1.00000 , 0.95157 , 20.40554
3012 , 595777 , 79.75187 , 9.99153 , 15.65203 , 234.78051 , 29.81359 , 6.99407 , 0.00000 , 15.65203 , 5.39783 , 1.00000 , 0.85206 , 11.43350
3013 , 85186 , 134.20965 , 10.60734 , 17.57992 , 263.69874 , 41.38317 , 7.42514 , 0.00000 , 17.57992 , 1.12033 , 1.00000 , 0.87998 , 18.90971
3014 , 860563 , 142.48984 , 11.90432 , 18.38569 , 275.78534 , 63.20144 , 8.33303 , 0.00000 , 18.38569 , 3.27665 , 1.00000 , 0.86096 , 17.75134
3015 , 878844 , 111.71488 , 10.35256 , 18.29486 , 274.42284 , 4.03031 , 7.24679 , 0.00000 , 18.29486 , 4.38681 , 1.00000 , 0.90498 , 20.68298
3016 , 319428 , 51.96358 , 12.20935 , 19.69439 , 295.41578 , 98.93044 , 8.54655 , 0.00000 , 19.69439 , 4.75581 , 1.00000 , 0.98644 , 14.53177
3017 , 294432 , 310.45931 , 13.50176 , 9.64423 , 144.66342 , 62.38704 , 9.45123 , 0.00000 , 9.64423 , 3.74545 , 1.00000 , 0.86780 , 14.30594
3018 , 901544 , 226.87199 , 7.22339 , 9.22994 , 138.44913 , 96.90744 , 5.05637 , 0.00000 , 9.22994 , 4.04554 , 1.00000 , 0.88053 , 19.48269
3019 , 850708 , 250.63991 , 11.32623 , 15.81550 , 237.23251 , 99.84111 , 7.92836 , 0.00000 , 15.81550 , 3.47968 , 1.00000 , 0.95813 , 10.92544
3020 , 722392 , 161.02372 , 10.28119 , 10.96725 , 164.50878 , 15.23449 , 7.19683 , 0.00000 , 10.96725 , 0.29454 , 2.00000 , 0.87597 , 18.42933
3021 , 565773 , 307.87125 , 8.67308 , 9.20219 , 138.03292 , 44.59827 , 6.07116 , 0.00000 , 9.20219 , 2.36676 , 2.00000 , 0.82352 , 15.44455
3022 , 555140 , 110.02969 , 9.58638 , 7.70084 , 115.51265 , 10.42524 , 6.71046 , 0.00000 , 7.70084 , 2.61376 , 2.00000 , 0.85445 , 9.76055
3023 , 592145 , 217.58868 , 10.11568 , 7.05187 , 105.77812 , 40.78808 , 7.08098 , 0.00000 , 7.05187 , 4.01976 , 2.00000 , 0.92914 , 11.66953
3024 , 126964 , 246.04198 , 9.94509 , 10.71638 , 160.74568 , 37.36151 , 6.96157 , 0.00000 , 10.71638 , 5.86657 , 2.00000 , 0.81207 , 18.00011
3025 , 26723 , 116.79073 , 6.82730 , 12.01828 , 180.27420 , 46.25129 , 4.77911 , 0.00000 , 12.01828 , 1.34327 , 2.00000 , 0.84942 , 13.21498
3026 , 268471 , 140.30482 , 9.03098 , 15.43037 , 231.45549 , 67.67646 , 6.32169 , 0.00000 , 15.43037 , 2.99358 , 2.00000 , 0.90348 , 17.86919
3027 , 29631 , 22.82143 , 9.86011 , 17.55544 , 263.33159 , 62.85789 , 6.90208 , 0.00000 , 17.55544 , 4.37533 , 2.00000 , 0.81319 , 12.22818
3028 , 189466 , 42.50934 , 13.76993 , 17.67486 , 265.12289 , 42.21352 , 9.63895 , 0.00000 , 17.67486 , 3.10190 , 2.00000 , 0.91819 , 24.68922
3029 , 259639 , 176.61680 , 10.35151 , 10.44937 , 156.74053 , 0.84393 , 7.24606 , 0.00000 , 10.44937 , 1.94069 , 2.00000 , 0.91139 , 23.28870
