#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
6000 , 565420 , 174.52273 , 14.32529 , 16.95219 , 254.28288 , 96.70265 , 10.02770 , 0.00000 , 16.95219 , 0.18320 , 1.00000 , 0.82529 , 18.46563
6001 , 600803 , 194.55876 , 12.10749 , 7.78252 , 116.73786 , 8.25461 , 8.47524 , 0.00000 , 7.78252 , 5.72907 , 1.00000 , 0.86497 , 16.62103
6002 , 11369 , 337.27116 , 8.49144 , 7.70452 , 115.56779 , 86.36707 , 5.94401 , 0.00000 , 7.70452 , 2.43543 , 1.00000 , 0.84425 , 17.35962
6003 , 627478 , 147.11158 , 14.21111 , 15.33100 , 229.96501 , 56.92940 , 9.94778 , 0.00000 , 15.33100 , 2.79918 , 1.00000 , 0.91778 , 18.69647
6004 , 273996 , 64.80145 , 5.14553 , 11.04632 , 165.69484 , 66.09812 , 3.60187 , 0.00000 , 11.04632 , 3.60932 , 1.00000 , 0.95079 , 16.53049
6005 , 50570 , 213.02844 , 5.28200 , 13.71924 , 205.78861 , 81.30558 , 3.69740 , 0.00000 , 13.71924 , 3.02235 , 1.00000 , 0.84241 , 17.78496
6006 , 649396 , 96.06970 , 10.37663 , 19.30061 , 289.50921 , 36.52579 , 7.26364 , 0.00000 , 19.30061 , 2.63697 , 1.00000 , 0.88540 , 17.66594
6007 , 224625 , 263.91496 , 12.38549 , 13.84624 , 207.69354 , 39.17812 , 8.66984 , 0.00000 , 13.84624 , 3.26803 , 1.00000 , 0.81829 , 16.28717
6008 , 434621 , 339.94463 , 7.22129 , 8.63497 , 129.52457 , 35.01281 , 5.05490 , 0.00000 , 8.63497 , 1.66881 , 1.00000 , 0.91299 , 14.98176
6009 , 797761 , 48.41656 , 9.93687 , 15.31020 , 229.65306 , 84.49435 , 6.95581 , 0.00000 , 15.31020 , 4.29780 , 1.00000 , 0.85744 , 17.34501
6010 , 79972 , 287.33375 , 11.70230 , 9.47371 , 142.10559 , 66.25617 , 8.19161 , 0.00000 , 9.47371 , 5.14694 , 1.00000 , 0.94108 , 16.28844
6011 , 580823 , 130.22487 , 7.02367 , 19.18980 , 287.84701 , 70.33328 , 4.91657 , 0.00000 , 19.18980 , 2.78645 , 1.00000 , 0.85462 , 17.02430
6012 , 265667 , 204.53838 , 10.34564 , 10.42936 , 156.44035 , 37.04463 , 7.24195 , 0.00000 , 10.42936 , 0.01686 , 1.00000 , 0.94917 , 16.97155
6013 , 134718 , 202.07428 , 8.81093 , 16.12907 , 241.93603 , 97.67019 , 6.16765 , 0.00000 , 16.12907 , 4.21406 , 1.00000 , 0.83423 , 17.35290
6014 , 888562 , 176.54247 , 11.34115 , 11.02972 , 165.44584 , 70.45870 , 7.93881 , 0.00000 , 11.02972 , 3.11593 , 1.00000 , 0.93745 , 16.51884
6015 , 693786 , 133.29097 , 12.31869 , 9.59807 , 143.97112 , 88.74281 , 8.62309 , 0.00000 , 9.59807 , 3.77325 , 1.00000 , 0.90999 , 17.28196
6016 , 635190 , 249.49102 , 12.01685 , 8.03656 , 120.54838 , 60.72242 , 8.41180 , 0.00000 , 8.03656 , 0.58032 , 1.00000 , 0.98152 , 18.95359
6017 , 4824 , 151.63776 , 7.68523 , 19.63577 , 294.53651 , 97.73991 , 5.37966 , 0.00000 , 19.63577 , 2.96304 , 1.00000 , 0.83027 , 16.56526
6018 , 217524 , 96.51077 , 10.39478 , 14.62930 , 219.43945 , 76.78666 , 7.27634 , 0.00000 , 14.62930 , 2.86905 , 1.00000 , 0.84240 , 17.18874
6019 , 805582 , 127.41375 , 8.85484 , 16.85174 , 252.77612 , 92.58800 , 6.19839 , 0.00000 , 16.85174 , 4.01208 , 1.00000 , 0.85771 , 17.17887
6020 , 192935 , 129.26314 , 12.21996 , 13.72478 , 205.87167 , 32.39660 , 8.55397 , 0.00000 , 13.72478 , 0.27636 , 2.00000 , 0.92498 , 16.46574
6021 , 242957 , 90.63016 , 9.65374 , 16.23837 , 243.57560 , 18.57745 , 6.75762 , 0.00000 , 16.23837 , 2.77707 , 2.00000 , 0.97846 , 15.75259
6022 , 651021 , 27.71468 , 12.24587 , 12.93435 , 194.01524 , 61.40629 , 8.57211 , 0.00000 , 12.93435 , 2.67072 , 2.00000 , 0.87014 , 17.93867
6023 , 246919 , 332.47667 , 11.23902 , 9.16083 , 137.41248 , 40.79606 , 7.86731 , 0.00000 , 9.16083 , 0.29586 , 2.00000 , 0.85680 , 16.97785
6024 , 816801 , 121.43803 , 11.64127 , 10.66384 , 159.95755 , 30.31727 , 8.14889 , 0.00000 , 10.66384 , 2.35906 , 2.00000 , 0.95041 , 16.41774
6025 , 96854 , 32.06416 , 16.74169 , 10.22007 , 153.30112 , 60.48356 , 11.71918 , 0.00000 , 10.22007 , 0.74676 , 2.00000 , 0.98982 , 15.44326
6026 , 560920 , 320.87699 , 9.35139 , 8.46073 , 126.91088 , 20.95198 , 6.54598 , 0.00000 , 8.46073 , 4.42588 , 2.00000 , 0.86562 , 15.57717
6027 , 914752 , 161.23648 , 11.46021 , 14.32866 , 214.92991 , 83.78367 , 8.02215 , 0.00000 , 14.32866 , 6.25099 , 2.00000 , 0.86998 , 18.53225
6028 , 80501 , 140.94330 , 10.71747 , 11.94618 , 179.19276 , 84.50349 , 7.50223 , 0.00000 , 11.94618 , 0.31101 , 2.00000 , 0.88249 , 16.64597
6029 , 192344 , 201.64151 , 7.64716 , 16.18753 , 242.81297 , 87.27064 , 5.35301 , 0.00000 , 16.18753 , 3.02074 , 2.00000 , 0.94842 , 16.25610
6030 , 724690 , 290.44547 , 14.16883 , 10.27756 , 154.16344 , 84.54648 , 9.91818 , 0.00000 , 10.27756 , 3.21851 , 2.00000 , 0.87908 , 16.77778
6031 , 710404 , 60.17675 , 7.63030 , 6.86568 , 102.98522 , 97.22098 , 5.34121 , 0.00000 , 6.86568 , 5.59089 , 2.00000 , 0.89628 , 17.59134
6032 , 988410 , 185.24590 , 10.43387 , 11.46173 , 171.92591 , 70.06111 , 7.30371 , 0.00000 , 11.46173 , 3.11867 , 2.00000 , 0.82759 , 17.99395
6033 , 757622 , 112.17823 , 9.04819 , 18.01686 , 270.25290 , 86.98953 , 6.33373 , 0.00000 , 18.01686 , 3.50668 , 2.00000 , 0.95943 , 16.19077
6034 , 527929 , 343.60245 , 11.26108 , 8.62801 , 129.42016 , 12.11489 , 7.88275 , 0.00000 , 8.62801 , 0.66314 , 2.00000 , 0.87158 , 16.90748
6035 , 441192 , 114.60923 , 7.86560 , 17.70044 , 265.50666 , 21.33825 , 5.50592 , 0.00000 , 17.70044 , 5.08947 , 2.00000 , 0.85612 , 14.37287
6036 , 158604 , 20.43871 , 10.76595 , 7.52022 , 112.80329 , 61.08664 , 7.53617 , 0.00000 , 7.52022 , 3.42382 , 2.00000 , 0.89955 , 16.75023
6037 , 321705 , 118.34045 , 10.37144 , 16.40764 , 246.11461 , 36.35077 , 7.26001 , 0.00000 , 16.40764 , 2.93395 , 2.00000 , 0.90017 , 15.89219
6038 , 319735 , 133.84010 , 11.38064 , 16.83619 , 252.54286 , 92.72740 , 7.96645 , 0.00000 , 16.83619 , 0.98361 , 2.00000 , 0.87039 , 16.70772
6039 , 950078 , 205.61481 , 8.72384 , 13.59612 , 203.94178 , 95.90919 , 6.10669 , 0.00000 , 13.59612 , 5.63457 , 2.00000 , 0.85972 , 16.60433
6040 , 595200 , 288.03582 , 10.25653 , 11.79568 , 176.93513 , 55.42408 , 7.17957 , 0.00000 , 11.79568 , 2.15776 , 3.00000 , 0.93466 , 15.70505
6041 , 27158 , 34.86463 , 9.58360 , 19.15836 , 287.37541 , 27.95457 , 6.70852 , 0.00000 , 19.15836 , 0.19474 , 3.00000 , 0.92519 , 16.93314
6042 , 917725 , 128.40301 , 13.24971 , 14.92002 , 223.80025 , 49.49101 , 9.27479 , 0.00000 , 14.92002 , 5.06577 , 3.00000 , 0.87474 , 16.00393
6043 , 502715 , 209.23415 , 10.21644 , 15.53834 , 233.07504 , 95.80569 , 7.15150 , 0.00000 , 15.53834 , 2.56244 , 3.00000 , 0.81436 , 16.21643
6044 , 98864 , 229.67468 , 12.14842 , 14.96530 , 224.47947 , 19.69654 , 8.50389 , 0.00000 , 14.96530 , 1.66043 , 3.00000 , 0.83965 , 16.44220
6045 , 779678 , 241.67393 , 8.61586 , 10.73319 , 160.99790 , 64.93221 , 6.03110 , 0.00000 , 10.73319 , 5.14600 , 3.00000 , 0.98688 , 17.66331
6046 , 854195 , 53.30255 , 7.67816 , 8.99208 , 134.88116 , 83.06000 , 5.37471 , 0.00000 , 8.99208 , 5.29044 , 3.00000 , 0.98055 , 16.24618
6047 , 379706 , 296.43022 , 9.17239 , 12.59913 , 188.98688 , 26.05973 , 6.42067 , 0.00000 , 12.59913 , 5.22775 , 3.00000 , 0.87776 , 18.28632
6048 , 135579 , 295.64395 , 11.05437 , 10.11116 , 151.66745 , 56.79172 , 7.73806 , 0.00000 , 10.11116 , 4.16269 , 3.00000 , 0.98525 , 19.34293
6049 , 715276 , 96.68595 , 7.87664 , 14.80697 , 222.10461 , 50.14503 , 5.51364 , 0.00000 , 14.80697 , 3.03633 , 3.00000 , 0.86406 , 17.30612
6050 , 79504 , 250.69195 , 11.25138 , 11.53256 , 172.98840 , 82.93459 , 7.87597 , 0.00000 , 11.53256 , 1.77179 , 3.00000 , 0.93808 , 17.48574
6051 , 304039 , 19.99714 , 6.51121 , 8.23474 , 123.52116 , 65.34895 , 4.55785 , 0.00000 , 8.23474 , 3.62279 , 3.00000 , 0.96390 , 17.03579
6052 , 767017 , 290.80435 , 10.54473 , 12.04205 , 180.63077 , 30.02466 , 7.38131 , 0.00000 , 12.04205 , 1.81600 , 3.00000 , 0.98684 , 15.95309
6053 , 555955 , 192.18656 , 8.96036 , 8.41023 , 126.15338 , 35.52503 , 6.27226 , 0.00000 , 8.41023 , 4.47462 , 3.00000 , 0.85840 , 18.20123
6054 , 790265 , 250.51543 , 9.32455 , 16.50255 , 247.53818 , 47.04927 , 6.52718 , 0.00000 , 16.50255 , 1.66279 , 3.00000 , 0.95896 , 17.97690
6055 , 648932 , 153.14132 , 9.53417 , 12.06493 , 180.97393 , 19.57599 , 6.67392 , 0.00000 , 12.06493 , 1.53392 , 3.00000 , 0.93857 , 18.16114
6056 , 404982 , 180.50574 , 8.69714 , 9.57814 , 143.67204 , 15.67402 , 6.08800 , 0.00000 , 9.57814 , 3.72212 , 3.00000 , 0.83183 , 16.71970
6057 , 857563 , 286.90735 , 13.06622 , 13.04013 , 195.60192 , 89.20792 , 9.14635 , 0.00000 , 13.04013 , 1.17672 , 3.00000 , 0.94504 , 16.52496
6058 , 615624 , 99.26639 , 10.41030 , 7.83381 , 117.50722 , 5.55373 , 7.28721 , 0.00000 , 7.83381 , 2.55258 , 3.00000 , 0.90030 , 17.96493
6059 , 777330 , 60.26832 , 8.71923 , 19.19158 , 287.87364 , 27.41652 , 6.10346 , 0.00000 , 19.19158 , 2.97778 , 3.00000 , 0.81302 , 17.96656
6060 , 771083 , 272.17160 , 7.04858 , 13.84466 , 207.66986 , 38.39228 , 4.93401 , 0.00000 , 13.84466 , 3.66872 , 4.00000 , 0.91289 , 17.65417
6061 , 154724 , 80.05194 , 9.79910 , 8.26539 , 123.98088 , 14.11074 , 6.85937 , 0.00000 , 8.26539 , 1.81807 , 4.00000 , 0.81782 , 14.59983
6062 , 884999 , 155.35024 , 8.82162 , 17.86295 , 267.94421 , 69.34785 , 6.17513 , 0.00000 , 17.86295 , 0.13805 , 4.00000 , 0.83371 , 18.50909
6063 , 423877 , 200.28420 , 8.04020 , 14.54986 , 218.24784 , 43.90580 , 5.62814 , 0.00000 , 14.54986 , 4.34173 , 4.00000 , 0.95364 , 16.02525
6064 , 174888 , 161.19991 , 11.85949 , 18.24142 , 273.62131 , 13.16410 , 8.30164 , 0.00000 , 18.24142 , 1.95504 , 4.00000 , 0.86491 , 16.96176
6065 , 316678 , 122.33754 , 13.31232 , 18.51494 , 277.72411 , 11.84309 , 9.31862 , 0.00000 , 18.51494 , 2.74321 , 4.00000 , 0.98591 , 17.54325
6066 , 883550 , 9.01444 , 12.63316 , 8.92043 , 133.80638 , 68.73370 , 8.84321 , 0.00000 , 8.92043 , 5.32279 , 4.00000 , 0.84648 , 17.81389
6067 , 38933 , 225.92660 , 12.19999 , 11.40555 , 171.08332 , 80.08043 , 8.53999 , 0.00000 , 11.40555 , 0.68382 , 4.00000 , 0.98036 , 16.68131
6068 , 429079 , 47.08646 , 10.10890 , 10.24902 , 153.73533 , 2.89008 , 7.07623 , 0.00000 , 10.24902 , 6.14821 , 4.00000 , 0.91761 , 17.93780
6069 , 400513 , 182.14245 , 10.67628 , 15.44856 , 231.72839 , 84.68931 , 7.47340 , 0.00000 , 15.44856 , 3.38696 , 4.00000 , 0.82167 , 16.79488
6070 , 30978 , 258.84239 , 13.40777 , 7.42206 , 111.33091 , 79.50362 , 9.38544 , 0.00000 , 7.42206 , 6.20162 , 4.00000 , 0.91369 , 17.20490
6071 , 828925 , 49.92071 , 12.59758 , 7.69755 , 115.46325 , 57.84678 , 8.81830 , 0.00000 , 7.69755 , 6.24845 , 4.00000 , 0.87022 , 16.23376
6072 , 970996 , 184.54624 , 6.29668 , 18.72649 , 280.89741 , 91.89048 , 4.40768 , 0.00000 , 18.72649 , 0.26845 , 4.00000 , 0.86000 , 17.15390
6073 , 187640 , 108.12459 , 11.14392 , 9.24200 , 138.63004 , 34.20306 , 7.80075 , 0.00000 , 9.24200 , 2.98583 , 4.00000 , 0.82064 , 16.49730
6074 , 188548 , 64.02763 , 8.89381 , 18.56674 , 278.50107 , 85.66730 , 6.22567 , 0.00000 , 18.56674 , 0.34982 , 4.00000 , 0.97816 , 17.08639
6075 , 355116 , 30.80184 , 9.63984 , 16.28908 , 244.33625 , 21.08784 , 6.74789 , 0.00000 , 16.28908 , 0.04122 , 4.00000 , 0.93776 , 17.06075
6076 , 334097 , 149.95058 , 8.41031 , 8.72214 , 130.83204 , 58.65188 , 5.88722 , 0.00000 , 8.72214 , 3.16914 , 4.00000 , 0.92251 , 15.90554
6077 , 511707 , 145.40818 , 6.65905 , 18.37408 , 275.61124 , 2.87845 , 4.66133 , 0.00000 , 18.37408 , 1.91254 , 4.00000 , 0.94762 , 16.92148
6078 , 860150 , 35.10675 , 9.91057 , 8.20654 , 123.09810 , 67.75621 , 6.93740 , 0.00000 , 8.20654 , 5.85743 , 4.00000 , 0.85890 , 17.50041
6079 , 560269 , 128.16995 , 11.22244 , 17.09711 , 256.45663 , 39.66860 , 7.85571 , 0.00000 , 17.09711 , 2.44443 , 4.00000 , 0.95889 , 16.84725
6080 , 243476 , 48.25495 , 8.41124 , 11.89227 , 178.38409 , 25.04280 , 5.88786 , 0.00000 , 11.89227 , 1.14988 , 5.00000 , 0.95921 , 17.28306
6081 , 129536 , 273.48775 , 13.72457 , 8.33451 , 125.01766 , 66.22422 , 9.60720 , 0.00000 , 8.33451 , 5.12322 , 5.00000 , 0.87745 , 17.86521
6082 , 9610 , 316.54785 , 9.37199 , 11.86718 , 178.00769 , 57.97211 , 6.56039 , 0.00000 , 11.86718 , 5.55243 , 5.00000 , 0.83042 , 16.91346
6083 , 213350 , 182.58702 , 10.31466 , 19.43183 , 291.47748 , 90.76797 , 7.22026 , 0.00000 , 19.43183 , 5.18786 , 5.00000 , 0.86229 , 17.78046
6084 , 202366 , 109.25197 , 11.42525 , 16.31481 , 244.72219 , 29.18705 , 7.99768 , 0.00000 , 16.31481 , 1.84109 , 5.00000 , 0.81353 , 15.85854
6085 , 168692 , 87.74923 , 11.94844 , 11.65738 , 174.86066 , 1.99666 , 8.36391 , 0.00000 , 11.65738 , 0.96598 , 5.00000 , 0.92270 , 17.17034
6086 , 2893 , 40.22872 , 8.66214 , 12.67085 , 190.06277 , 33.65501 , 6.06350 , 0.00000 , 12.67085 , 4.96354 , 5.00000 , 0.95468 , 15.90650
6087 , 332390 , 45.90422 , 10.77327 , 15.33478 , 230.02177 , 77.98209 , 7.54129 , 0.00000 , 15.33478 , 4.83117 , 5.00000 , 0.93404 , 16.92820
6088 , 778403 , 241.75708 , 8.99012 , 14.35319 , 215.29784 , 2.37694 , 6.29308 , 0.00000 , 14.35319 , 4.92590 , 5.00000 , 0.90442 , 14.75929
6089 , 771685 , 192.19240 , 7.63522 , 14.69860 , 220.47904 , 27.35932 , 5.34465 , 0.00000 , 14.69860 , 5.31322 , 5.00000 , 0.93314 , 16.43714
6090 , 577392 , 229.38742 , 9.46198 , 13.52265 , 202.83982 , 71.07580 , 6.62339 , 0.00000 , 13.52265 , 2.79148 , 5.00000 , 0.96198 , 17.56284
6091 , 338232 , 331.31781 , 13.74551 , 8.22125 , 123.31878 , 47.29848 , 9.62186 , 0.00000 , 8.22125 , 2.70977 , 5.00000 , 0.87029 , 18.01123
6092 , 803759 , 59.69295 , 7.94548 , 16.40270 , 246.04053 , 17.23449 , 5.56183 , 0.00000 , 16.40270 , 3.32475 , 5.00000 , 0.94068 , 16.88946
6093 , 300396 , 132.09021 , 10.78741 , 16.55306 , 248.29592 , 14.73311 , 7.55118 , 0.00000 , 16.55306 , 3.30317 , 5.00000 , 0.86362 , 17.23234
6094 , 387170 , 111.29836 , 12.11122 , 15.13622 , 227.04333 , 31.03890 , 8.47785 , 0.00000 , 15.13622 , 2.78828 , 5.00000 , 0.96525 , 16.44075
6095 , 397996 , 81.02651 , 11.12011 , 16.59799 , 248.96981 , 92.81825 , 7.78407 , 0.00000 , 16.59799 , 0.45929 , 5.00000 , 0.91155 , 17.66560
6096 , 738606 , 123.68758 , 10.59894 , 12.32816 , 184.92240 , 93.98538 , 7.41926 , 0.00000 , 12.32816 , 1.95468 , 5.00000 , 0.83035 , 16.28879
6097 , 566553 , 260.35513 , 7.11220 , 10.61186 , 159.17784 , 49.67358 , 4.97854 , 0.00000 , 10.61186 , 0.61218 , 5.00000 , 0.82377 , 18.22714
6098 , 436522 , 162.76506 , 6.81856 , 17.22191 , 258.32870 , 36.56353 , 4.77299 , 0.00000 , 17.22191 , 1.08279 , 5.00000 , 0.92905 , 17.02503
6099 , 588921 , 236.00849 , 9.96437 , 16.52552 , 247.88279 , 54.54167 , 6.97506 , 0.00000 , 16.52552 , 3.27240 , 5.00000 , 0.93054 , 18.35638
6100 , 549992 , 31.32401 , 9.97453 , 17.54405 , 263.16073 , 11.27460 , 4.98726 , 0.00000 , 17.54405 , 2.01343 , 1.00000 , 0.87888 , 15.97604
6101 , 507006 , 221.10500 , 7.36185 , 16.13952 , 242.09276 , 76.03410 , 3.68092 , 0.00000 , 16.13952 , 4.14871 , 1.00000 , 0.96343 , 17.32242
6102 , 216486 , 146.02301 , 8.31848 , 15.50173 , 232.52595 , 59.42852 , 4.15924 , 0.00000 , 15.50173 , 1.05636 , 1.00000 , 0.82967 , 17.29394
6103 , 86963 , 154.69558 , 11.81308 , 9.92813 , 148.92200 , 15.81782 , 5.90654 , 0.00000 , 9.92813 , 0.19365 , 1.00000 , 0.87535 , 18.52246
6104 , 458349 , 338.23289 , 12.54831 , 8.02682 , 120.40225 , 64.11234 , 6.27416 , 0.00000 , 8.02682 , 4.85158 , 1.00000 , 0.92620 , 17.25447
