#sim_number,id,t_peak,amp_scale,P,new_length,offset,a_qpp,B,t_e,phi,sn,r,sn_red,C,D
0,209628,63.54303,10.2565,14.237039999999999,213.55563999999998,92.1037,7.17955,0.0,14.237039999999999,2.31115,1.0,0.84805,17.695529999999998,,
1,421774,176.58393,8.913689999999999,19.41488,291.22319,94.76495,6.23958,0.0,19.41488,2.92826,1.0,0.82276,17.76925,,
2,183746,213.38192999999998,13.7629,10.95085,164.26278,46.05396,9.634030000000001,0.0,10.95085,3.3024400000000003,1.0,0.9576399999999999,17.65578,,
3,725414,62.624359999999996,11.49741,17.37306,260.5959,94.46534,8.04819,0.0,17.37306,5.11144,1.0,0.854,18.0669,,
4,132197,41.50874,8.41795,8.48894,127.33415,97.07441999999999,5.89256,0.0,8.48894,3.59965,1.0,0.9611799999999999,18.48048,,
5,873833,105.55341999999999,10.35949,19.080579999999998,286.20867000000004,93.99172,7.251639999999999,0.0,19.080579999999998,4.19108,1.0,0.9275200000000001,18.85828,,
6,419907,47.31901,9.29999,18.35462,275.31927,36.09539,6.50999,0.0,18.35462,3.45307,1.0,0.9038799999999999,17.60195,,
7,360217,144.03483,10.5582,14.5533,218.29956,29.455640000000002,7.390739999999999,0.0,14.5533,5.58663,1.0,0.9469200000000001,17.156570000000002,,
8,818556,156.80813999999998,10.48452,16.33126,244.96887999999998,73.8752,7.339160000000001,0.0,16.33126,5.47848,1.0,0.81672,16.9578,,
9,691211,120.55337,10.713289999999999,7.263669999999999,108.95501000000002,16.96561,7.49931,0.0,7.263669999999999,5.5803199999999995,1.0,0.98775,16.04394,,
10,16560,41.97087,9.48675,10.34088,155.11327,51.47359,6.6407300000000005,0.0,10.34088,6.17995,1.0,0.94283,16.90514,,
11,675485,32.275909999999996,6.56157,10.76506,161.47589,99.62926999999999,4.5931,0.0,10.76506,2.9935,1.0,0.95494,18.574479999999998,,
12,811910,81.96344,9.94261,16.44057,246.60855,49.15208,6.95982,0.0,16.44057,3.43825,1.0,0.8964799999999999,15.856470000000002,,
13,33957,156.97326,9.0519,7.21075,108.16118999999999,86.59241999999999,6.33633,0.0,7.21075,4.68578,1.0,0.9549,16.57187,,
14,348944,343.76509,6.3476,9.81139,147.17088,43.65978,4.44332,0.0,9.81139,0.60053,1.0,0.9686,16.05254,,
15,154896,263.75457,14.11016,15.712660000000001,235.68992000000003,82.41294,9.87711,0.0,15.712660000000001,3.00874,1.0,0.98565,18.33462,,
16,430650,128.25323999999998,8.22857,16.215770000000003,243.23657000000003,61.784569999999995,5.76,0.0,16.215770000000003,5.33807,1.0,0.86059,17.69816,,
17,491775,149.05386000000001,8.7025,11.81282,177.19227,19.22366,6.09175,0.0,11.81282,3.9992099999999997,1.0,0.8598899999999999,16.63746,,
